"studio name","film name","year"
"Warner Bros. Pictures","Man of Steel","2013"
"Universal Pictures","Jurassic Park","1995"
"Universal Pictures","The Godfather","1972"
"Universal Pictures","Titanic","1997"
"Universal Pictures","E.T. the Extra-Terrestrial","1982"
"Universal Pictures","The Super Mario Bros. Movie","2023"
"Universal Pictures","Fast & Furious","2001"
"Universal Pictures","Back to the Future","1985"
"Universal Pictures","The Wizard of Oz","1939"
"Universal Pictures","Scooby-Doo","1995"
"Paramount Pictures","Star Wars: Episode IV – A New Hope","1977"
"Paramount Pictures","The Sound of Music","1965"
"Paramount Pictures","The Exorcist","1973"
"Paramount Pictures","The Shining","1980"
"Paramount Pictures","The Ten Commandments","1956"
"Paramount Pictures","The Great Escape","1963"
"Sony Pictures","Spider-Man: Into the Spider-Verse","2018"
"Sony Pictures","The Amazing Spider-Man","2003"
"Sony Pictures","Gravity","2013"
"Sony Pictures","The Lost City","2022"
"Sony Pictures","Creed","2015"
"Sony Pictures","Alita: Battle Angel","2019"
"Sony Pictures","Venom","2018"
"Sony Pictures","Joy","2015"
"Sony Pictures","The Girl with the Dragon Tattoo","2009"
"Columbia Pictures","Gone with the Wind","1939"
"Columbia Pictures","Home Alone","1990"
"Columbia Pictures","The Last of the Mohicans","1992"
"Columbia Pictures","The Shawshank Redemption","1995"
"20th Century Studios","Ratatouille","2007"
"20th Century Studios","Cars","2006"
"DreamWorks Animation","Shrek","2001"
"DreamWorks Animation","Shrek 2","2004"
"DreamWorks Animation","Kung Fu Panda","2008"
"DreamWorks Animation","Madagascar","1995"
"DreamWorks Animation","Monsters vs. Aliens","2009"
"DreamWorks Animation","How to Train Your Dragon","2010"
"DreamWorks Animation","The Prince of Egypt","1998"
"DreamWorks Animation","Chicken Run","1995"
"DreamWorks Animation","Puss in Boots","2011"
"DreamWorks Animation","Rise of the Guardians","2012"
"Lionsgate Films","The Fast and the Furious","2001"
"Lionsgate Films","The Fast & Furious 7","2015"
"Lionsgate Films","Transformers","1995"
"Lionsgate Films","Transformers: Dark of the Moon","2011"
"Lionsgate Films","The Hunger Games","2012"
"Lionsgate Films","John Carter","2012"
"Lionsgate Films","The Expendables","2010"
"Lionsgate Films","The Mummy (2001)","2001"
"Lionsgate Films","The Mummy: Tomb of the Dragon Emperor","1999"
"Lionsgate Films","The Mummy (2017)","2017"
"A24","Get Out","2017"
"A24","Midsommar","2019"
"A24","The Lighthouse","2019"
"A24","Us","2019"
"A24","Tár","2022"
"A24","The Witch","2015"
"A24","Hereditary","2018"
"A24","The Florida Project","2017"
"A24","The Night House","2020"
"A24","The Menu","2022"
"Metro-Goldwyn-Mayer","Singin' in the Rain","1952"
"Metro-Goldwyn-Mayer","Ben-Hur","1959"
"Metro-Goldwyn-Mayer","Casablanca","1942"
"Metro-Goldwyn-Mayer","Mutiny on the Bounty","1995"
"Metro-Goldwyn-Mayer","The Philadelphia Story","1940"
"Metro-Goldwyn-Mayer","The King and I","1956"
"Legendary Entertainment","X-Men: Days of Future Past","2020"
"Legendary Entertainment","Furious 7","2015"
"Legendary Entertainment","The Suicide Squad","1995"
"Legendary Entertainment","The Hobbit: The Desolation of Smaug","2013"
"Legendary Entertainment","The Avengers: Age of Ultron","2015"
"New Line Cinema","Fight Club","1995"
"New Line Cinema","The Big Lebowski","1998"
"New Line Cinema","The Departed","2006"
"New Line Cinema","Pirates of the Caribbean: The Curse of the Black Pearl","2003"
"New Line Cinema","Memento","2000"
"New Line Cinema","The Social Network","2010"
"Studio Ghibli","My Neighbor Totoro","1995"
"Studio Ghibli","Kiki's Delivery Service","1995"
"Studio Ghibli","Princess Mononoke","1995"
"Studio Ghibli","Spirited Away","2001"
"Studio Ghibli","Howl's Moving Castle","1988"
"Studio Ghibli","The Wind Rises","2013"
"Studio Ghibli","Ponyo","2008"
"Studio Ghibli","The Secret World of Arrietty","2010"
"Studio Ghibli","The Tale of the Princess Kaguya","2013"
"Studio Ghibli","From Up on Poppy Hill","1995"
"Focus Features","The Last Samurai","1995"
"Focus Features","The Mummy","1999"
"Focus Features","The Great Gatsby","2013"
"Focus Features","The Martian","2015"
"Focus Features","The Incredible Burt Wonderstone","2013"
"Focus Features","The Adventures of Tintin","1995"
"Focus Features","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2005"
"Focus Features","The Hobbit: An Unexpected Journey","2012"
"Focus Features","The Secret Life of Walter Mitty","2013"
"Searchlight Pictures","Sully","2016"
"Searchlight Pictures","Dunkirk","2017"
"Searchlight Pictures","The Imitation Game","2014"
"Searchlight Pictures","The Big Short","2015"
"Netflix","The Irishman","2019"
"Netflix","Roma","2018"
"Netflix","Bird Box","2018"
"Netflix","The Gray Man","2022"
"Netflix","The Old Guard","2017"
"Netflix","Don't Look Up","2021"
"Netflix","The Power of the Dog","2021"
"Netflix","The Fabelmans","2022"
